Column1,Column2,Column3,Column4,Column5,Column6,Column7
2025-03-21 20:43:25,SUIUSDTPerp,2025-03-21 20:43:25SUIUSDTPerpClose long2.273500311.2 SUI-16.74105000 USDT,Close long,2.273500,311.2 SUI,-16.74105000 USDT
2025-03-21 19:47:37,1000PEPEUSDTPerp,"2025-03-21 19:47:371000PEPEUSDTPerpClose long0.007265197,649 1000PEPE-6.10198149 USDT",Close long,0.0072651,"97,649 1000PEPE",-6.10198149 USDT
2025-03-21 18:46:25,1000PEPEUSDTPerp,"2025-03-21 18:46:251000PEPEUSDTPerpOpen long0.007153129,543 1000PEPE0.00000000 USDT",Open long,0.0071531,"29,543 1000PEPE",0.00000000 USDT
2025-03-21 12:47:54,1000PEPEUSDTPerp,"2025-03-21 12:47:541000PEPEUSDTPerpOpen long0.007322825,821 1000PEPE0.00000000 USDT",Open long,0.0073228,"25,821 1000PEPE",0.00000000 USDT
2025-03-21 10:36:31,SUIUSDTPerp,2025-03-21 10:36:31SUIUSDTPerpOpen long2.28220093.7 SUI0.00000000 USDT,Open long,2.282200,93.7 SUI,0.00000000 USDT
2025-03-21 08:07:58,1000PEPEUSDTPerp,"2025-03-21 08:07:581000PEPEUSDTPerpOpen long0.007430822,452 1000PEPE0.00000000 USDT",Open long,0.0074308,"22,452 1000PEPE",0.00000000 USDT
2025-03-21 07:17:45,1000PEPEUSDTPerp,"2025-03-21 07:17:451000PEPEUSDTPerpOpen long0.007476919,833 1000PEPE0.00000000 USDT",Open long,0.0074769,"19,833 1000PEPE",0.00000000 USDT
2025-03-21 06:19:45,SUIUSDTPerp,2025-03-21 06:19:45SUIUSDTPerpOpen long2.32130082.5 SUI0.00000000 USDT,Open long,2.321300,82.5 SUI,0.00000000 USDT
2025-03-20 23:39:40,XRPUSDTPerp,2025-03-20 23:39:40XRPUSDTPerpClose long2.4507131.8 XRP+7.27221999 USDT,Close long,2.4507,131.8 XRP,+7.27221999 USDT
2025-03-20 23:21:18,ONDOUSDTPerp,2025-03-20 23:21:18ONDOUSDTPerpClose long0.8492000175.7 ONDO+1.87999000 USDT,Close long,0.8492000,175.7 ONDO,+1.87999000 USDT
